"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/28/2022 09:33:59 am,0.189,1.00,,
09/28/2022 09:33:59 am,0.236,0.00,0.05,1.05
09/28/2022 09:34:02 am,3.782,1.00,,
09/28/2022 09:34:02 am,3.835,0.00,0.05,0.95
09/28/2022 09:34:06 am,7.419,1.00,,
09/28/2022 09:34:06 am,7.462,0.00,0.04,1.15
09/28/2022 09:34:10 am,11.050,1.00,,
09/28/2022 09:34:10 am,11.092,0.00,0.04,1.18
09/28/2022 09:34:13 am,14.684,1.00,,
09/28/2022 09:34:13 am,14.728,0.00,0.04,1.13
09/28/2022 09:34:17 am,18.298,1.00,,
09/28/2022 09:34:17 am,18.341,0.00,0.04,1.17
09/28/2022 09:34:20 am,21.931,1.00,,
09/28/2022 09:34:20 am,21.977,0.00,0.05,1.08
09/28/2022 09:34:24 am,25.558,1.00,,
09/28/2022 09:34:24 am,25.601,0.00,0.04,1.15
09/28/2022 09:34:28 am,29.180,1.00,,
09/28/2022 09:34:28 am,29.232,0.00,0.05,0.96
09/28/2022 09:34:31 am,32.781,1.00,,
09/28/2022 09:34:31 am,32.831,0.00,0.05,1.00
09/28/2022 09:34:35 am,36.453,1.00,,
09/28/2022 09:34:35 am,36.502,0.00,0.05,1.01
09/28/2022 09:34:39 am,40.027,1.00,,
09/28/2022 09:34:39 am,40.080,0.00,0.05,0.93
09/28/2022 09:34:42 am,43.692,1.00,,
09/28/2022 09:34:42 am,43.744,0.00,0.05,0.95
09/28/2022 09:34:46 am,47.301,1.00,,
09/28/2022 09:34:46 am,47.353,0.00,0.05,0.97
09/28/2022 09:34:49 am,50.934,1.00,,
09/28/2022 09:34:49 am,50.978,0.00,0.04,1.11
09/28/2022 09:34:53 am,54.556,1.00,,
09/28/2022 09:34:53 am,54.604,0.00,0.05,1.05
09/28/2022 09:34:57 am,58.194,1.00,,
09/28/2022 09:34:57 am,58.238,0.00,0.04,1.15
09/28/2022 09:35:00 am,61.802,1.00,,
09/28/2022 09:35:00 am,61.850,0.00,0.05,1.02
09/28/2022 09:35:04 am,65.438,1.00,,
09/28/2022 09:35:04 am,65.481,0.00,0.04,1.17
09/28/2022 09:35:08 am,69.061,1.00,,
09/28/2022 09:35:08 am,69.112,0.00,0.05,0.97
09/28/2022 09:35:11 am,72.685,1.00,,
09/28/2022 09:35:11 am,72.735,0.00,0.05,0.99
09/28/2022 09:35:15 am,76.295,1.00,,
09/28/2022 09:35:15 am,76.347,0.00,0.05,0.95
09/28/2022 09:35:18 am,79.953,1.00,,
09/28/2022 09:35:19 am,80.008,0.00,0.05,0.91
09/28/2022 09:35:22 am,83.537,1.00,,
09/28/2022 09:35:22 am,83.591,0.00,0.05,0.93
09/28/2022 09:35:26 am,87.189,1.00,,
09/28/2022 09:35:26 am,87.242,0.00,0.05,0.96
09/28/2022 09:35:29 am,90.805,1.00,,
09/28/2022 09:35:29 am,90.858,0.00,0.05,0.95
09/28/2022 09:35:33 am,94.435,1.00,,
09/28/2022 09:35:33 am,94.482,0.00,0.05,1.06
09/28/2022 09:35:37 am,98.048,1.00,,
09/28/2022 09:35:37 am,98.096,0.00,0.05,1.04
09/28/2022 09:35:40 am,101.694,1.00,,
09/28/2022 09:35:40 am,101.741,0.00,0.05,1.06
09/28/2022 09:35:44 am,105.295,1.00,,
09/28/2022 09:35:44 am,105.344,0.00,0.05,1.03
09/28/2022 09:35:47 am,108.939,1.00,,
09/28/2022 09:35:47 am,108.986,0.00,0.05,1.05
09/28/2022 09:35:51 am,112.555,1.00,,
09/28/2022 09:35:51 am,112.607,0.00,0.05,0.95
09/28/2022 09:35:55 am,116.187,1.00,,
09/28/2022 09:35:55 am,116.241,0.00,0.05,0.93
09/28/2022 09:35:58 am,119.786,1.00,,
09/28/2022 09:35:58 am,119.843,0.00,0.06,0.87
09/28/2022 09:36:02 am,123.446,1.00,,
09/28/2022 09:36:02 am,123.502,0.00,0.06,0.90
09/28/2022 09:36:06 am,127.035,1.00,,
09/28/2022 09:36:06 am,127.092,0.00,0.06,0.87
09/28/2022 09:36:09 am,130.681,1.00,,
09/28/2022 09:36:09 am,130.737,0.00,0.06,0.90
09/28/2022 09:36:13 am,134.301,1.00,,
09/28/2022 09:36:13 am,134.355,0.00,0.05,0.94
09/28/2022 09:36:16 am,137.930,1.00,,
09/28/2022 09:36:16 am,137.980,0.00,0.05,1.00
09/28/2022 09:36:20 am,141.545,1.00,,
09/28/2022 09:36:20 am,141.595,0.00,0.05,1.01
09/28/2022 09:36:24 am,145.187,1.00,,
09/28/2022 09:36:24 am,145.238,0.00,0.05,0.99
09/28/2022 09:36:27 am,148.795,1.00,,
09/28/2022 09:36:27 am,148.846,0.00,0.05,0.99
09/28/2022 09:36:31 am,152.425,1.00,,
09/28/2022 09:36:31 am,152.476,0.00,0.05,0.98
09/28/2022 09:36:35 am,156.049,1.00,,
09/28/2022 09:36:35 am,156.104,0.00,0.06,0.90
09/28/2022 09:36:38 am,159.683,1.00,,
09/28/2022 09:36:38 am,159.740,0.00,0.06,0.87
09/28/2022 09:36:42 am,163.284,1.00,,
09/28/2022 09:36:42 am,163.344,0.00,0.06,0.84
09/28/2022 09:36:45 am,166.947,1.00,,
09/28/2022 09:36:46 am,167.005,0.00,0.06,0.86
09/28/2022 09:36:49 am,170.537,1.00,,
09/28/2022 09:36:49 am,170.598,0.00,0.06,0.81
09/28/2022 09:36:53 am,174.184,1.00,,
09/28/2022 09:36:53 am,174.240,0.00,0.06,0.89
09/28/2022 09:36:56 am,177.807,1.00,,
09/28/2022 09:36:56 am,177.864,0.00,0.06,0.87
09/28/2022 09:37:00 am,181.432,1.00,,
09/28/2022 09:37:00 am,181.483,0.00,0.05,0.98
09/28/2022 09:37:04 am,185.051,1.00,,
09/28/2022 09:37:04 am,185.105,0.00,0.05,0.92
09/28/2022 09:37:07 am,188.687,1.00,,
09/28/2022 09:37:07 am,188.738,0.00,0.05,0.97
09/28/2022 09:37:11 am,192.300,1.00,,
09/28/2022 09:37:11 am,192.355,0.00,0.05,0.91
09/28/2022 09:37:14 am,195.927,1.00,,
09/28/2022 09:37:14 am,195.980,0.00,0.05,0.95
09/28/2022 09:37:18 am,199.549,1.00,,
09/28/2022 09:37:18 am,199.609,0.00,0.06,0.83
09/28/2022 09:37:22 am,203.182,1.00,,
09/28/2022 09:37:22 am,203.242,0.00,0.06,0.84
09/28/2022 09:37:25 am,206.781,1.00,,
09/28/2022 09:37:25 am,206.845,0.00,0.06,0.79
09/28/2022 09:37:29 am,210.438,1.00,,
09/28/2022 09:37:29 am,210.499,0.00,0.06,0.83
09/28/2022 09:37:33 am,214.037,1.00,,
09/28/2022 09:37:33 am,214.101,0.00,0.06,0.78
09/28/2022 09:37:36 am,217.675,1.00,,
09/28/2022 09:37:36 am,217.733,0.00,0.06,0.87
09/28/2022 09:37:40 am,221.299,1.00,,
09/28/2022 09:37:40 am,221.358,0.00,0.06,0.84
09/28/2022 09:37:43 am,224.929,1.00,,
09/28/2022 09:37:43 am,224.981,0.00,0.05,0.95
09/28/2022 09:37:47 am,228.543,1.00,,
09/28/2022 09:37:47 am,228.600,0.00,0.06,0.88
09/28/2022 09:37:51 am,232.182,1.00,,
09/28/2022 09:37:51 am,232.235,0.00,0.05,0.95
09/28/2022 09:37:54 am,235.798,1.00,,
09/28/2022 09:37:54 am,235.856,0.00,0.06,0.86
09/28/2022 09:37:58 am,239.424,1.00,,
09/28/2022 09:37:58 am,239.479,0.00,0.06,0.91
09/28/2022 09:38:02 am,243.044,1.00,,
09/28/2022 09:38:02 am,243.108,0.00,0.06,0.78
09/28/2022 09:38:05 am,246.679,1.00,,
09/28/2022 09:38:05 am,246.741,0.00,0.06,0.81
09/28/2022 09:38:09 am,250.280,1.00,,
09/28/2022 09:38:09 am,250.346,0.00,0.07,0.76
09/28/2022 09:38:12 am,253.934,1.00,,
09/28/2022 09:38:12 am,253.996,0.00,0.06,0.80
09/28/2022 09:38:16 am,257.538,1.00,,
09/28/2022 09:38:16 am,257.604,0.00,0.07,0.75
09/28/2022 09:38:20 am,261.173,1.00,,
09/28/2022 09:38:20 am,261.231,0.00,0.06,0.86
09/28/2022 09:38:23 am,264.793,1.00,,
09/28/2022 09:38:23 am,264.853,0.00,0.06,0.83
09/28/2022 09:38:27 am,268.422,1.00,,
09/28/2022 09:38:27 am,268.477,0.00,0.06,0.91
09/28/2022 09:38:31 am,272.029,1.00,,
09/28/2022 09:38:31 am,272.088,0.00,0.06,0.85
09/28/2022 09:38:34 am,275.669,1.00,,
09/28/2022 09:38:34 am,275.724,0.00,0.06,0.90
09/28/2022 09:38:38 am,279.282,1.00,,
09/28/2022 09:38:38 am,279.342,0.00,0.06,0.83
09/28/2022 09:38:41 am,282.908,1.00,,
09/28/2022 09:38:41 am,282.967,0.00,0.06,0.85
09/28/2022 09:38:45 am,286.525,1.00,,
09/28/2022 09:38:45 am,286.593,0.00,0.07,0.74
09/28/2022 09:38:49 am,290.164,1.00,,
09/28/2022 09:38:49 am,290.228,0.00,0.06,0.78
09/28/2022 09:38:52 am,293.760,1.00,,
09/28/2022 09:38:52 am,293.830,0.00,0.07,0.72
09/28/2022 09:38:56 am,297.413,1.00,,
09/28/2022 09:38:56 am,297.478,0.00,0.07,0.77
09/28/2022 09:39:00 am,301.021,1.00,,
09/28/2022 09:39:00 am,301.089,0.00,0.07,0.73
09/28/2022 09:39:03 am,304.652,1.00,,
09/28/2022 09:39:03 am,304.712,0.00,0.06,0.82
09/28/2022 09:39:07 am,308.276,1.00,,
09/28/2022 09:39:07 am,308.338,0.00,0.06,0.81
09/28/2022 09:39:10 am,311.905,1.00,,
09/28/2022 09:39:10 am,311.962,0.00,0.06,0.87
09/28/2022 09:39:14 am,315.518,1.00,,
09/28/2022 09:39:14 am,315.578,0.00,0.06,0.82
09/28/2022 09:39:18 am,319.156,1.00,,
09/28/2022 09:39:18 am,319.215,0.00,0.06,0.85
09/28/2022 09:39:21 am,322.771,1.00,,
09/28/2022 09:39:21 am,322.832,0.00,0.06,0.81
09/28/2022 09:39:25 am,326.397,1.00,,
09/28/2022 09:39:25 am,326.459,0.00,0.06,0.80
09/28/2022 09:39:29 am,330.012,1.00,,
09/28/2022 09:39:29 am,330.081,0.00,0.07,0.72
