"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/28/2022 09:53:20 am,2.077,1.00,,
09/28/2022 09:53:20 am,2.119,0.00,0.04,1.19
09/28/2022 09:53:23 am,5.788,1.00,,
09/28/2022 09:53:23 am,5.833,0.00,0.04,1.12
09/28/2022 09:53:27 am,9.330,1.00,,
09/28/2022 09:53:27 am,9.379,0.00,0.05,1.02
09/28/2022 09:53:31 am,13.012,1.00,,
09/28/2022 09:53:31 am,13.062,0.00,0.05,1.00
09/28/2022 09:53:34 am,16.625,1.00,,
09/28/2022 09:53:34 am,16.668,0.00,0.04,1.15
09/28/2022 09:53:38 am,20.238,1.00,,
09/28/2022 09:53:38 am,20.284,0.00,0.05,1.08
09/28/2022 09:53:41 am,23.872,1.00,,
09/28/2022 09:53:41 am,23.920,0.00,0.05,1.05
09/28/2022 09:53:45 am,27.489,1.00,,
09/28/2022 09:53:45 am,27.537,0.00,0.05,1.03
09/28/2022 09:53:49 am,31.127,1.00,,
09/28/2022 09:53:49 am,31.173,0.00,0.05,1.07
09/28/2022 09:53:52 am,34.742,1.00,,
09/28/2022 09:53:52 am,34.786,0.00,0.04,1.12
09/28/2022 09:53:56 am,38.336,1.00,,
09/28/2022 09:53:56 am,38.388,0.00,0.05,0.97
09/28/2022 09:54:00 am,42.022,1.00,,
09/28/2022 09:54:00 am,42.072,0.00,0.05,0.99
09/28/2022 09:54:03 am,45.562,1.00,,
09/28/2022 09:54:03 am,45.610,0.00,0.05,1.05
09/28/2022 09:54:07 am,49.272,1.00,,
09/28/2022 09:54:07 am,49.319,0.00,0.05,1.07
09/28/2022 09:54:10 am,52.814,1.00,,
09/28/2022 09:54:10 am,52.869,0.00,0.05,0.92
09/28/2022 09:54:14 am,56.487,1.00,,
09/28/2022 09:54:14 am,56.538,0.00,0.05,0.98
09/28/2022 09:54:18 am,60.117,1.00,,
09/28/2022 09:54:18 am,60.162,0.00,0.04,1.11
09/28/2022 09:54:21 am,63.713,1.00,,
09/28/2022 09:54:21 am,63.762,0.00,0.05,1.03
09/28/2022 09:54:25 am,67.361,1.00,,
09/28/2022 09:54:25 am,67.410,0.00,0.05,1.02
09/28/2022 09:54:28 am,70.964,1.00,,
09/28/2022 09:54:29 am,71.014,0.00,0.05,1.00
09/28/2022 09:54:32 am,74.612,1.00,,
09/28/2022 09:54:32 am,74.660,0.00,0.05,1.04
