"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/28/2022 09:27:59 am,2.085,1.00,,
09/28/2022 09:27:59 am,2.133,0.00,0.05,1.04
09/28/2022 09:28:02 am,5.677,1.00,,
09/28/2022 09:28:02 am,5.725,0.00,0.05,1.05
09/28/2022 09:28:06 am,9.337,1.00,,
09/28/2022 09:28:06 am,9.389,0.00,0.05,0.97
09/28/2022 09:28:09 am,12.926,1.00,,
09/28/2022 09:28:09 am,12.978,0.00,0.05,0.97
09/28/2022 09:28:13 am,16.581,1.00,,
09/28/2022 09:28:13 am,16.634,0.00,0.05,0.94
09/28/2022 09:28:17 am,20.192,1.00,,
09/28/2022 09:28:17 am,20.247,0.00,0.06,0.91
09/28/2022 09:28:20 am,23.823,1.00,,
09/28/2022 09:28:20 am,23.880,0.00,0.06,0.87
09/28/2022 09:28:24 am,27.441,1.00,,
09/28/2022 09:28:24 am,27.495,0.00,0.05,0.93
09/28/2022 09:28:28 am,31.089,1.00,,
09/28/2022 09:28:28 am,31.144,0.00,0.06,0.91
09/28/2022 09:28:31 am,34.684,1.00,,
09/28/2022 09:28:31 am,34.736,0.00,0.05,0.96
09/28/2022 09:28:35 am,38.339,1.00,,
09/28/2022 09:28:35 am,38.393,0.00,0.05,0.93
09/28/2022 09:28:38 am,41.937,1.00,,
09/28/2022 09:28:38 am,41.987,0.00,0.05,1.00
09/28/2022 09:28:42 am,45.592,1.00,,
09/28/2022 09:28:42 am,45.645,0.00,0.05,0.93
09/28/2022 09:28:46 am,49.188,1.00,,
09/28/2022 09:28:46 am,49.240,0.00,0.05,0.97
09/28/2022 09:28:49 am,52.844,1.00,,
09/28/2022 09:28:49 am,52.900,0.00,0.06,0.90
09/28/2022 09:28:53 am,56.445,1.00,,
09/28/2022 09:28:53 am,56.501,0.00,0.06,0.90
09/28/2022 09:28:57 am,60.086,1.00,,
09/28/2022 09:28:57 am,60.146,0.00,0.06,0.82
09/28/2022 09:29:00 am,63.703,1.00,,
09/28/2022 09:29:00 am,63.762,0.00,0.06,0.85
09/28/2022 09:29:04 am,67.343,1.00,,
09/28/2022 09:29:04 am,67.403,0.00,0.06,0.83
09/28/2022 09:29:07 am,70.949,1.00,,
09/28/2022 09:29:08 am,71.008,0.00,0.06,0.85
09/28/2022 09:29:11 am,74.598,1.00,,
09/28/2022 09:29:11 am,74.658,0.00,0.06,0.84
09/28/2022 09:29:15 am,78.198,1.00,,
09/28/2022 09:29:15 am,78.251,0.00,0.05,0.93
09/28/2022 09:29:18 am,81.852,1.00,,
09/28/2022 09:29:18 am,81.908,0.00,0.06,0.88
09/28/2022 09:29:22 am,85.442,1.00,,
09/28/2022 09:29:22 am,85.495,0.00,0.05,0.94
09/28/2022 09:29:26 am,89.096,1.00,,
09/28/2022 09:29:26 am,89.153,0.00,0.06,0.88
09/28/2022 09:29:29 am,92.690,1.00,,
09/28/2022 09:29:29 am,92.744,0.00,0.05,0.92
09/28/2022 09:29:33 am,96.343,1.00,,
09/28/2022 09:29:33 am,96.403,0.00,0.06,0.83
09/28/2022 09:29:36 am,99.937,1.00,,
09/28/2022 09:29:36 am,99.997,0.00,0.06,0.84
09/28/2022 09:29:40 am,103.588,1.00,,
09/28/2022 09:29:40 am,103.651,0.00,0.06,0.80
09/28/2022 09:29:44 am,107.191,1.00,,
09/28/2022 09:29:44 am,107.252,0.00,0.06,0.81
09/28/2022 09:29:47 am,110.834,1.00,,
09/28/2022 09:29:47 am,110.898,0.00,0.06,0.77
09/28/2022 09:29:51 am,114.440,1.00,,
09/28/2022 09:29:51 am,114.500,0.00,0.06,0.84
09/28/2022 09:29:55 am,118.090,1.00,,
09/28/2022 09:29:55 am,118.152,0.00,0.06,0.81
09/28/2022 09:29:58 am,121.683,1.00,,
09/28/2022 09:29:58 am,121.740,0.00,0.06,0.87
09/28/2022 09:30:02 am,125.337,1.00,,
09/28/2022 09:30:02 am,125.397,0.00,0.06,0.84
09/28/2022 09:30:05 am,128.932,1.00,,
09/28/2022 09:30:05 am,128.988,0.00,0.06,0.89
09/28/2022 09:30:09 am,132.589,1.00,,
09/28/2022 09:30:09 am,132.650,0.00,0.06,0.82
