"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/28/2022 09:44:31 am,178.822,1.00,,
09/28/2022 09:44:31 am,178.884,0.00,0.06,0.81
09/28/2022 09:44:35 am,182.415,1.00,,
09/28/2022 09:44:35 am,182.475,0.00,0.06,0.83
09/28/2022 09:44:39 am,186.061,1.00,,
09/28/2022 09:44:39 am,186.118,0.00,0.06,0.88
09/28/2022 09:44:42 am,189.679,1.00,,
09/28/2022 09:44:42 am,189.736,0.00,0.06,0.89
09/28/2022 09:44:46 am,193.302,1.00,,
09/28/2022 09:44:46 am,193.358,0.00,0.06,0.90
09/28/2022 09:44:49 am,196.931,1.00,,
09/28/2022 09:44:49 am,196.988,0.00,0.06,0.88
09/28/2022 09:44:53 am,200.558,1.00,,
09/28/2022 09:44:53 am,200.614,0.00,0.06,0.89
09/28/2022 09:44:57 am,204.173,1.00,,
09/28/2022 09:44:57 am,204.231,0.00,0.06,0.85
09/28/2022 09:45:00 am,207.812,1.00,,
09/28/2022 09:45:00 am,207.874,0.00,0.06,0.80
09/28/2022 09:45:04 am,211.403,1.00,,
09/28/2022 09:45:04 am,211.468,0.00,0.06,0.77
09/28/2022 09:45:08 am,215.059,1.00,,
09/28/2022 09:45:08 am,215.125,0.00,0.07,0.75
09/28/2022 09:45:11 am,218.644,1.00,,
09/28/2022 09:45:11 am,218.711,0.00,0.07,0.74
09/28/2022 09:45:15 am,222.305,1.00,,
09/28/2022 09:45:15 am,222.371,0.00,0.07,0.76
09/28/2022 09:45:18 am,225.904,1.00,,
09/28/2022 09:45:18 am,225.968,0.00,0.06,0.78
09/28/2022 09:45:22 am,229.543,1.00,,
09/28/2022 09:45:22 am,229.605,0.00,0.06,0.82
09/28/2022 09:45:26 am,233.159,1.00,,
09/28/2022 09:45:26 am,233.221,0.00,0.06,0.82
09/28/2022 09:45:29 am,236.779,1.00,,
09/28/2022 09:45:29 am,236.839,0.00,0.06,0.83
09/28/2022 09:45:33 am,240.411,1.00,,
09/28/2022 09:45:33 am,240.473,0.00,0.06,0.81
09/28/2022 09:45:37 am,244.033,1.00,,
09/28/2022 09:45:37 am,244.094,0.00,0.06,0.81
09/28/2022 09:45:40 am,247.644,1.00,,
09/28/2022 09:45:40 am,247.708,0.00,0.06,0.78
09/28/2022 09:45:44 am,251.283,1.00,,
09/28/2022 09:45:44 am,251.352,0.00,0.07,0.73
09/28/2022 09:45:47 am,254.874,1.00,,
09/28/2022 09:45:47 am,254.945,0.00,0.07,0.71
09/28/2022 09:45:51 am,258.530,1.00,,
09/28/2022 09:45:51 am,258.601,0.00,0.07,0.71
09/28/2022 09:45:55 am,262.120,1.00,,
09/28/2022 09:45:55 am,262.192,0.00,0.07,0.70
09/28/2022 09:45:58 am,265.770,1.00,,
09/28/2022 09:45:58 am,265.840,0.00,0.07,0.71
09/28/2022 09:46:02 am,269.377,1.00,,
09/28/2022 09:46:02 am,269.445,0.00,0.07,0.74
09/28/2022 09:46:06 am,273.007,1.00,,
09/28/2022 09:46:06 am,273.072,0.00,0.06,0.77
09/28/2022 09:46:09 am,276.635,1.00,,
09/28/2022 09:46:09 am,276.701,0.00,0.07,0.76
09/28/2022 09:46:13 am,280.250,1.00,,
09/28/2022 09:46:13 am,280.314,0.00,0.06,0.78
09/28/2022 09:46:16 am,283.879,1.00,,
09/28/2022 09:46:16 am,283.945,0.00,0.07,0.76
09/28/2022 09:46:20 am,287.504,1.00,,
09/28/2022 09:46:20 am,287.571,0.00,0.07,0.75
09/28/2022 09:46:24 am,291.106,1.00,,
09/28/2022 09:46:24 am,291.176,0.00,0.07,0.71
09/28/2022 09:46:27 am,294.750,1.00,,
09/28/2022 09:46:27 am,294.823,0.00,0.07,0.68
09/28/2022 09:46:31 am,298.338,1.00,,
09/28/2022 09:46:31 am,298.414,0.00,0.08,0.66
09/28/2022 09:46:34 am,301.999,1.00,,
09/28/2022 09:46:35 am,302.075,0.00,0.08,0.66
09/28/2022 09:46:38 am,305.593,1.00,,
09/28/2022 09:46:38 am,305.669,0.00,0.08,0.66
09/28/2022 09:46:42 am,309.239,1.00,,
09/28/2022 09:46:42 am,309.312,0.00,0.07,0.69
09/28/2022 09:46:45 am,312.845,1.00,,
09/28/2022 09:46:45 am,312.917,0.00,0.07,0.70
09/28/2022 09:46:49 am,316.472,1.00,,
09/28/2022 09:46:49 am,316.540,0.00,0.07,0.74
09/28/2022 09:46:53 am,320.101,1.00,,
09/28/2022 09:46:53 am,320.171,0.00,0.07,0.71
09/28/2022 09:46:56 am,323.718,1.00,,
09/28/2022 09:46:56 am,323.786,0.00,0.07,0.74
09/28/2022 09:47:00 am,327.349,1.00,,
09/28/2022 09:47:00 am,327.421,0.00,0.07,0.70
09/28/2022 09:47:03 am,330.978,1.00,,
09/28/2022 09:47:04 am,331.050,0.00,0.07,0.70
09/28/2022 09:47:07 am,334.584,1.00,,
09/28/2022 09:47:07 am,334.660,0.00,0.08,0.66
09/28/2022 09:47:11 am,338.233,1.00,,
09/28/2022 09:47:11 am,338.311,0.00,0.08,0.64
09/28/2022 09:47:14 am,341.819,1.00,,
09/28/2022 09:47:14 am,341.900,0.00,0.08,0.62
09/28/2022 09:47:18 am,345.476,1.00,,
09/28/2022 09:47:18 am,345.555,0.00,0.08,0.63
09/28/2022 09:47:22 am,349.067,1.00,,
09/28/2022 09:47:22 am,349.148,0.00,0.08,0.62
09/28/2022 09:47:25 am,352.716,1.00,,
09/28/2022 09:47:25 am,352.791,0.00,0.08,0.66
09/28/2022 09:47:29 am,356.329,1.00,,
09/28/2022 09:47:29 am,356.404,0.00,0.08,0.66
09/28/2022 09:47:32 am,359.961,1.00,,
09/28/2022 09:47:33 am,360.032,0.00,0.07,0.70
09/28/2022 09:47:36 am,363.585,1.00,,
09/28/2022 09:47:36 am,363.660,0.00,0.07,0.67
09/28/2022 09:47:40 am,367.208,1.00,,
09/28/2022 09:47:40 am,367.280,0.00,0.07,0.70
09/28/2022 09:47:43 am,370.833,1.00,,
09/28/2022 09:47:43 am,370.909,0.00,0.08,0.66
09/28/2022 09:47:47 am,374.473,1.00,,
09/28/2022 09:47:47 am,374.551,0.00,0.08,0.65
09/28/2022 09:47:51 am,378.075,1.00,,
09/28/2022 09:47:51 am,378.158,0.00,0.08,0.61
09/28/2022 09:47:54 am,381.727,1.00,,
09/28/2022 09:47:54 am,381.809,0.00,0.08,0.60
09/28/2022 09:47:58 am,385.315,1.00,,
09/28/2022 09:47:58 am,385.401,0.00,0.09,0.58
09/28/2022 09:48:01 am,388.980,1.00,,
09/28/2022 09:48:02 am,389.063,0.00,0.08,0.60
09/28/2022 09:48:05 am,392.570,1.00,,
09/28/2022 09:48:05 am,392.654,0.00,0.08,0.59
09/28/2022 09:48:09 am,396.216,1.00,,
09/28/2022 09:48:09 am,396.295,0.00,0.08,0.63
09/28/2022 09:48:12 am,399.820,1.00,,
09/28/2022 09:48:12 am,399.900,0.00,0.08,0.62
09/28/2022 09:48:16 am,403.462,1.00,,
09/28/2022 09:48:16 am,403.537,0.00,0.08,0.66
09/28/2022 09:48:20 am,407.076,1.00,,
09/28/2022 09:48:20 am,407.157,0.00,0.08,0.62
09/28/2022 09:48:23 am,410.711,1.00,,
09/28/2022 09:48:23 am,410.788,0.00,0.08,0.65
09/28/2022 09:48:27 am,414.320,1.00,,
09/28/2022 09:48:27 am,414.403,0.00,0.08,0.60
